artist,album,title,personnel_type,name,score
The Doobie Brothers,Minute By Minute,What A Fool Believes,Song Personnel,Michael McDonald,100.00
The Doobie Brothers,Minute By Minute,What A Fool Believes,Song Personnel,Kenny Loggins,100.00
The Doobie Brothers,Minute By Minute,What A Fool Believes,Song Personnel,Bill Payne,100.00
The Doobie Brothers,Minute By Minute,What A Fool Believes,Album Personnel,Ben Cauley,100.00
The Doobie Brothers,Minute By Minute,What A Fool Believes,Album Personnel,David Gest,100.00
The Doobie Brothers,Minute By Minute,What A Fool Believes,Album Personnel,Norton Buffalo,100.00
The Doobie Brothers,Minute By Minute,What A Fool Believes,Album Personnel,Byron Berline,100.00
The Doobie Brothers,Minute By Minute,What A Fool Believes,Album Personnel,Michael McDonald,100.00
The Doobie Brothers,Minute By Minute,What A Fool Believes,Album Personnel,John Hartman,100.00
The Doobie Brothers,Minute By Minute,What A Fool Believes,Album Personnel,Tiran Porter,100.00
The Doobie Brothers,Minute By Minute,What A Fool Believes,Album Personnel,Beth Naranjo,100.00
The Doobie Brothers,Minute By Minute,What A Fool Believes,Album Personnel,Bobby LaKind,100.00
The Doobie Brothers,Minute By Minute,What A Fool Believes,Album Personnel,Keith Knudsen,100.00
The Doobie Brothers,Minute By Minute,What A Fool Believes,Album Personnel,Andrew Love,100.00
The Doobie Brothers,Minute By Minute,What A Fool Believes,Album Personnel,Herb Pedersen,100.00
The Doobie Brothers,Minute By Minute,What A Fool Believes,Album Personnel,Loyd Clifft,100.00
The Doobie Brothers,Minute By Minute,What A Fool Believes,Album Personnel,Jeff Baxter,100.00
The Doobie Brothers,Minute By Minute,What A Fool Believes,Album Personnel,Donn Landee,100.00
The Doobie Brothers,Minute By Minute,What A Fool Believes,Album Personnel,Bruce Steinberg,100.00
The Doobie Brothers,Minute By Minute,What A Fool Believes,Album Personnel,Ted Templeman,100.00
The Doobie Brothers,Minute By Minute,What A Fool Believes,Album Personnel,David Alexander,100.00
The Doobie Brothers,Minute By Minute,What A Fool Believes,Album Personnel,Bruce Cohn,100.00
The Doobie Brothers,Minute By Minute,What A Fool Believes,Album Personnel,Patrick Simmons,100.00
The Doobie Brothers,Minute By Minute,What A Fool Believes,Album Personnel,David Alexander,100.00
Kenny Loggins,High Adventure,Heart To Heart,Song Personnel,Mike Hamilton,99.63
Kenny Loggins,High Adventure,Heart To Heart,Song Personnel,Michael McDonald,99.63
Kenny Loggins,High Adventure,Heart To Heart,Song Personnel,Lenny Castro,99.63
